date,price,district_id,lot1_surface,lot2_surface,lot3_surface,lot4_surface,lot5_surface,lots,type,surface,rooms,extra,extra_special,land_surface
2017-07-13,285800.0,69005,82.49,0.0,0.0,0.0,0.0,2,apartment,83.0,3,none,no_special,0.0
2017-07-12,141400.0,69004,0.0,0.0,0.0,0.0,0.0,1,apartment,41.0,3,none,no_special,0.0
2017-07-20,269500.0,69009,63.64,0.0,0.0,0.0,0.0,1,apartment,63.0,3,none,no_special,0.0
2017-07-17,155500.0,69005,42.81,0.0,0.0,0.0,0.0,2,apartment,41.0,2,none,no_special,0.0
2017-07-21,282000.0,69002,49.05,0.0,0.0,0.0,0.0,1,apartment,49.0,2,none,no_special,0.0
2017-07-21,320000.0,69001,73.2,0.0,0.0,0.0,0.0,1,apartment,80.0,2,none,no_special,0.0
2017-07-24,231660.0,69009,70.0,0.0,0.0,0.0,0.0,2,apartment,77.0,2,none,no_special,0.0
2017-07-17,228000.0,69005,62.12,0.0,0.0,0.0,0.0,1,apartment,62.0,3,none,no_special,0.0
2017-07-25,299000.0,69002,0.0,0.0,0.0,0.0,0.0,2,apartment,91.0,4,none,no_special,0.0
2017-07-10,180000.0,69004,57.4,0.0,0.0,0.0,0.0,1,apartment,55.0,3,none,no_special,0.0
2017-07-12,275000.0,69004,72.04,0.0,0.0,0.0,0.0,2,apartment,75.0,3,none,no_special,0.0
2017-07-17,307100.0,69009,65.65,0.0,0.0,0.0,0.0,1,apartment,65.0,3,none,no_special,0.0
2017-07-20,210000.0,69001,38.79,0.0,0.0,0.0,0.0,2,apartment,33.0,2,none,no_special,0.0
2017-07-17,417000.0,69009,79.15,0.0,0.0,0.0,0.0,1,apartment,79.0,3,none,no_special,0.0
2017-07-19,132600.0,69001,0.0,0.0,0.0,0.0,0.0,1,apartment,50.0,2,none,no_special,0.0
2017-07-13,181700.0,69009,47.66,0.0,0.0,0.0,0.0,2,apartment,48.0,2,none,no_special,0.0
2017-07-24,244000.0,69004,0.0,0.0,130.5,0.0,0.0,3,apartment,130.0,5,none,no_special,0.0
2017-07-24,100500.0,69005,54.27,0.0,0.0,0.0,0.0,2,apartment,53.0,3,none,no_special,0.0
2017-07-25,208000.0,69001,0.0,49.61,0.0,0.0,0.0,2,apartment,49.0,2,none,no_special,0.0
2017-07-24,195000.0,69001,37.23,0.0,0.0,0.0,0.0,1,apartment,37.0,2,none,no_special,0.0
2017-07-18,989339.0,69002,0.0,0.0,0.0,0.0,0.0,2,apartment,196.0,5,none,no_special,0.0
2017-07-25,165000.0,69009,51.51,0.0,0.0,0.0,0.0,1,apartment,51.0,2,none,no_special,0.0
2017-07-18,149850.0,69009,87.7,0.0,0.0,0.0,0.0,1,apartment,84.0,4,none,no_special,0.0
2017-07-04,209500.0,69001,0.0,52.92,0.0,0.0,0.0,3,apartment,55.0,3,none,no_special,0.0
2017-07-19,720700.0,69001,0.0,0.0,0.0,0.0,0.0,3,apartment,157.0,5,none,no_special,0.0
2017-07-20,475000.0,69001,110.54,0.0,0.0,0.0,0.0,2,apartment,120.0,2,none,no_special,0.0
2017-07-27,450000.0,69002,0.0,0.0,0.0,0.0,0.0,1,apartment,104.0,3,none,no_special,0.0
2017-07-18,496870.0,69005,106.7,0.0,0.0,0.0,0.0,1,apartment,103.0,4,none,no_special,0.0
2017-07-25,269000.0,69004,0.0,0.0,0.0,0.0,0.0,2,apartment,78.0,3,none,no_special,0.0
2017-07-20,1070000.0,69004,0.0,0.0,0.0,0.0,0.0,1,apartment,35.0,2,none,no_special,0.0
2017-07-20,1070000.0,69004,0.0,0.0,0.0,0.0,0.0,1,apartment,37.0,2,none,no_special,0.0
2017-07-20,1070000.0,69004,0.0,0.0,0.0,0.0,0.0,1,apartment,37.0,2,none,no_special,0.0
2017-07-20,1070000.0,69004,0.0,0.0,0.0,0.0,0.0,1,apartment,45.0,2,none,no_special,0.0
2017-07-31,329120.0,69005,85.13,0.0,0.0,0.0,0.0,1,apartment,84.0,4,none,no_special,0.0
2017-07-27,493550.0,69005,0.0,0.0,0.0,0.0,0.0,1,apartment,119.0,5,none,no_special,0.0
2017-07-24,210000.0,69001,37.28,0.0,0.0,0.0,0.0,3,apartment,40.0,1,none,no_special,0.0
